"Relative Time (Process)","hopeful-cosmos-2 - system/gpu.0.powerWatts","hopeful-cosmos-2 - system/gpu.0.powerWatts__MIN","hopeful-cosmos-2 - system/gpu.0.powerWatts__MAX"
"61.322508","345.58","345.58","345.58"
"91.325404","573.37","573.37","573.37"
"121.341898","515.06","515.06","515.06"
"151.351469","524.83","524.83","524.83"
"181.380656","525.85","525.85","525.85"
"211.409512","498.96","498.96","498.96"
"241.411156","481.54","481.54","481.54"
"271.418166","529.56","529.56","529.56"
"301.41927","550.85","550.85","550.85"
"331.422145","559.92","559.92","559.92"
"361.434034","550.4","550.4","550.4"
"391.45065","511.63","511.63","511.63"
"421.477445","501.59","501.59","501.59"
"451.479099","501.56","501.56","501.56"
"481.484016","497.51","497.51","497.51"
"511.500654","505.99","505.99","505.99"
"541.503969","554.56","554.56","554.56"
"571.515169","570.18","570.18","570.18"
"601.517841","512.95","512.95","512.95"
"631.519704","518.6","518.6","518.6"
"661.526752","489.55","489.55","489.55"
"691.532106","478.16","478.16","478.16"
"721.56294","550.62","550.62","550.62"
"751.580888","549.59","549.59","549.59"
"781.595812","512.42","512.42","512.42"
"811.602736","509.29","509.29","509.29"
"841.609965","493.38","493.38","493.38"
"871.627615","506.61","506.61","506.61"
"901.644759","485.32","485.32","485.32"
"931.646188","483.39","483.39","483.39"
"961.649432","483.41","483.41","483.41"
"991.653411","558.52","558.52","558.52"
"1021.654005","588.82","588.82","588.82"
"1051.654848","594.31","594.31","594.31"
"1081.658527","526.49","526.49","526.49"
"1111.660163","511.34","511.34","511.34"
"1141.669647","527.47","527.47","527.47"
"1171.692915","546.2","546.2","546.2"
"1201.707029","511.04","511.04","511.04"
"1231.719689","519.4","519.4","519.4"
"1261.732635","531.9","531.9","531.9"
"1291.752702","516.3","516.3","516.3"
"1321.768681","500.93","500.93","500.93"
"1351.789624","495.27","495.27","495.27"
"1381.790618","511.28","511.28","511.28"
"1411.800105","507.87","507.87","507.87"
"1441.813954","515.42","515.42","515.42"
"1471.832811","517.74","517.74","517.74"
"1501.865663","563.82","563.82","563.82"
"1531.870465","519.92","519.92","519.92"
"1561.872769","502.04","502.04","502.04"
"1591.874366","522","522","522"
"1621.878785","588.23","588.23","588.23"
"1651.890634","534.58","534.58","534.58"
"1681.892305","572.52","572.52","572.52"
"1711.903732","501.86","501.86","501.86"
"1741.909697","502.83","502.83","502.83"
"1771.911112","511.14","511.14","511.14"
"1801.917135","502.68","502.68","502.68"
"1831.934852","489.81","489.81","489.81"
"1861.972536","495.44","495.44","495.44"
"1891.98713","543.18","543.18","543.18"
"1922.002276","549.65","549.65","549.65"
"1952.010946","514.61","514.61","514.61"
"1982.012296","573.45","573.45","573.45"
"2012.016855","569.82","569.82","569.82"
"2042.032336","515.78","515.78","515.78"
"2072.044377","506.59","506.59","506.59"
"2102.061785","508.19","508.19","508.19"
"2132.065939","497.56","497.56","497.56"
"2162.072889","485.93","485.93","485.93"
"2192.08847","493.66","493.66","493.66"
"2222.102902","501.13","501.13","501.13"
"2252.109559","512.99","512.99","512.99"
"2282.126058","561.29","561.29","561.29"
"2312.145664","508.45","508.45","508.45"
"2342.163942","492.48","492.48","492.48"
"2372.177733","484.63","484.63","484.63"
"2402.181466","498.75","498.75","498.75"
"2432.182579","574.75","574.75","574.75"
"2462.189419","554.72","554.72","554.72"
"2492.192493","508.44","508.44","508.44"
"2522.209551","508.72","508.72","508.72"
"2552.229007","398.53","398.53","398.53"
"2582.249592","125.11","125.11","125.11"
"2612.251153","412.01","412.01","412.01"
"2642.252486","479.12","479.12","479.12"
"2672.260483","500.39","500.39","500.39"
"2702.273005","502.69","502.69","502.69"
"2732.279013","493.98","493.98","493.98"
"2762.293269","528.07","528.07","528.07"
"2792.311252","523.38","523.38","523.38"
"2822.333543","496.43","496.43","496.43"
"2852.334772","495.05","495.05","495.05"
"2882.336521","518.2","518.2","518.2"
"2912.342059","506.57","506.57","506.57"
"2942.347174","505.39","505.39","505.39"
"2972.368","508.79","508.79","508.79"
"3002.39029","506.24","506.24","506.24"
"3032.406931","516.06","516.06","516.06"
"3062.407561","588.62","588.62","588.62"
"3092.413812","540.25","540.25","540.25"
"3122.431503","526.96","526.96","526.96"
"3152.451527","559.62","559.62","559.62"
"3182.46715","512.84","512.84","512.84"
"3212.469455","507.43","507.43","507.43"
"3242.470905","528.81","528.81","528.81"
"3272.474964","587.86","587.86","587.86"
"3302.492058","525.42","525.42","525.42"
"3332.497871","521.51","521.51","521.51"
"3362.508354","495.3","495.3","495.3"
"3392.547094","510.41","510.41","510.41"
"3422.571727","487.07","487.07","487.07"
"3452.573176","583.9","583.9","583.9"
"3482.574705","535.92","535.92","535.92"
"3512.576765","514.24","514.24","514.24"
"3542.592746","516.13","516.13","516.13"
"3572.619212","518.06","518.06","518.06"
"3602.650614","542.66","542.66","542.66"
"3632.675056","556.01","556.01","556.01"
"3662.677818","562.53","562.53","562.53"
"3692.681486","566.85","566.85","566.85"
"3722.685805","555.1","555.1","555.1"
"3752.689751","533.77","533.77","533.77"
"3782.691225","505.08","505.08","505.08"
"3812.69546","499.6","499.6","499.6"
"3842.707216","546.92","546.92","546.92"
"3872.71029","594.2","594.2","594.2"
"3902.713645","502.3","502.3","502.3"
"3932.720372","517.25","517.25","517.25"
"3962.727644","509.72","509.72","509.72"
"3992.747269","518.56","518.56","518.56"
"4022.769976","492.25","492.25","492.25"
"4052.782437","515.67","515.67","515.67"
"4082.789282","528.7","528.7","528.7"
"4112.813121","566.27","566.27","566.27"
"4142.817889","537.66","537.66","537.66"
"4172.820119","497.9","497.9","497.9"
"4202.821022","523","523","523"
"4232.828662","589.49","589.49","589.49"
"4262.840243","529.57","529.57","529.57"
"4292.85832","534.88","534.88","534.88"
"4322.874996","498.86","498.86","498.86"
"4352.899551","515.83","515.83","515.83"
"4382.93134","498.27","498.27","498.27"
"4412.932404","528.28","528.28","528.28"
"4442.93813","582.74","582.74","582.74"
"4472.955566","531.33","531.33","531.33"
"4502.971213","502.76","502.76","502.76"
"4532.98446","524.19","524.19","524.19"
"4563.013575","516.93","516.93","516.93"
"4593.014796","555.35","555.35","555.35"
"4623.01578","558.06","558.06","558.06"
"4653.01786","565.22","565.22","565.22"
"4683.021621","547.33","547.33","547.33"
"4713.025453","533.89","533.89","533.89"
"4743.032927","494.43","494.43","494.43"
"4773.039907","504.96","504.96","504.96"
"4803.050187","510.76","510.76","510.76"
"4833.058961","587.61","587.61","587.61"
"4863.059675","525.19","525.19","525.19"
"4893.066573","513.64","513.64","513.64"
"4953.081036","501.44","501.44","501.44"
"4954.791889","408.47","408.47","408.47"